
Rank;Global Rank;Institution;Country;Sector
1;4;Harvard University *;USA;Higher educ.
2;5;Harvard Medical School;USA;Higher educ.
3;8;Massachusetts Institute of Technology *;USA;Higher educ.
4;9;Stanford University *;USA;Higher educ.
5;12;Johns Hopkins University *;USA;Higher educ.
6;13;Tsinghua University *;CHN;Higher educ.
7;14;University of Oxford;GBR;Higher educ.
8;17;University of Michigan, Ann Arbor *;USA;Higher educ.
9;18;University College London;GBR;Higher educ.
10;19;University of Washington *;USA;Higher educ.
11;20;University of Toronto;CAN;Higher educ.
12;23;University of Pennsylvania *;USA;Higher educ.
13;25;The University of Hong Kong *;HKG;Higher educ.
14;27;University of California, Los Angeles *;USA;Higher educ.
15;28;Peking University *;CHN;Higher educ.
16;29;Zhejiang University *;CHN;Higher educ.
17;30;Shanghai Jiao Tong University *;CHN;Higher educ.
18;32;University of Cambridge *;GBR;Higher educ.
19;33;Columbia University *;USA;Higher educ.
20;34;University of California, San Diego *;USA;Higher educ.
21;38;University of California, Berkeley *;USA;Higher educ.
22;39;Cornell University *;USA;Higher educ.
23;41;University of California, San Francisco *;USA;Higher educ.
24;42;University of Tokyo *;JPN;Higher educ.
25;44;Yale University *;USA;Higher educ.
26;45;Imperial College London;GBR;Higher educ.
27;46;National University of Singapore *;SGP;Higher educ.
28;47;Duke University *;USA;Higher educ.
29;49;Universidade de Sao Paulo;BRA;Higher educ.
30;51;University of Wisconsin, Madison *;USA;Higher educ.
31;52;University of Melbourne;AUS;Higher educ.
32;53;University of Minnesota, Twin Cities *;USA;Higher educ.
33;54;University of Sydney;AUS;Higher educ.
34;55;Swiss Federal Institute of Technology;CHE;Higher educ.
35;57;Northwestern University, Evanston *;USA;Higher educ.
36;58;University of North Carolina, Chapel Hill *;USA;Higher educ.
37;59;Graduate University of the Chinese Academy of Sciences;CHN;Higher educ.
38;63;University of Maryland, Baltimore;USA;Higher educ.
39;64;The University of British Columbia;CAN;Higher educ.
40;66;New York University *;USA;Higher educ.
41;67;The University of Queensland *;AUS;Higher educ.
42;69;Seoul National University *;KOR;Higher educ.
43;72;Catholic University of Leuven;BEL;Higher educ.
44;73;University of Pittsburgh *;USA;Higher educ.
45;74;Ohio State University, Columbus *;USA;Higher educ.
46;75;University of Copenhagen;DNK;Higher educ.
47;79;Monash University, Melbourne *;AUS;Higher educ.
48;80;University of California, Davis *;USA;Higher educ.
49;81;Utrecht University *;NLD;Higher educ.
50;82;Nanyang Technological University *;SGP;Higher educ.
51;83;University of Southern California *;USA;Higher educ.
51;83;University of Chicago *;USA;Higher educ.
52;86;Pennsylvania State University *;USA;Higher educ.
53;87;University of Florida *;USA;Higher educ.
54;88;University of Amsterdam *;NLD;Higher educ.
55;89;Washington University in Saint Louis *;USA;Higher educ.
56;90;University of Illinois at Urbana-Champaign;USA;Higher educ.
57;91;Fudan University *;CHN;Higher educ.
58;92;Kings College London;GBR;Higher educ.
59;93;The University of Manchester;GBR;Higher educ.
60;94;University of Texas, Austin;USA;Higher educ.
61;96;The University of Edinburgh *;GBR;Higher educ.
62;97;Harvard-MIT Division of Health Sciences and Tecnology;USA;Higher educ.
63;99;Kyoto University *;JPN;Higher educ.
64;100;Vanderbilt University *;USA;Higher educ.
65;101;Huazhong University of Science and Technology *;CHN;Higher educ.
66;102;University of New South Wales;AUS;Higher educ.
67;103;McGill University;CAN;Higher educ.
68;105;Karolinska Institute;SWE;Higher educ.
69;106;Emory University *;USA;Higher educ.
70;110;Ecole Polytechnique Federale de Lausanne;CHE;Higher educ.
71;112;Sorbonne Universite *;FRA;Higher educ.
72;113;Georgia Institute of Technology;USA;Higher educ.
73;114;Ghent University;BEL;Higher educ.
74;116;Technische Universitat Munchen *;DEU;Higher educ.
75;117;Harbin Institute of Technology;CHN;Higher educ.
76;119;University of Alberta;CAN;Higher educ.
77;124;Rutgers, The State University of New Jersey;USA;Higher educ.
78;125;Sichuan University *;CHN;Higher educ.
79;126;California Institute of Technology *;USA;Higher educ.
80;128;Boston University *;USA;Higher educ.
81;129;Jilin University *;CHN;Higher educ.
82;130;Purdue University;USA;Higher educ.
83;132;Sun Yat-Sen University *;CHN;Higher educ.
84;133;University of Groningen *;NLD;Higher educ.
85;134;Leiden University *;NLD;Higher educ.
86;136;Weill Cornell Medical College;USA;Higher educ.
87;137;VU University Amsterdam *;NLD;Higher educ.
88;138;Universita degli Studi di Roma La Sapienza;ITA;Higher educ.
89;139;University of Utah *;USA;Higher educ.
90;140;Aarhus University *;DNK;Higher educ.
90;140;Osaka University *;JPN;Higher educ.
91;142;Tianjin University *;CHN;Higher educ.
92;144;Ludwig-Maximilians Universitat Munchen *;DEU;Higher educ.
93;145;Nanjing University *;CHN;Higher educ.
94;147;Shandong University *;CHN;Higher educ.
94;147;University of California, Irvine *;USA;Higher educ.
95;149;Erasmus University Rotterdam *;NLD;Higher educ.
96;150;Lunds University;SWE;Higher educ.
97;153;Baylor College of Medicine;USA;Higher educ.
98;157;National Taiwan University;TWN;Higher educ.
98;157;Xi'an Jiaotong University *;CHN;Higher educ.
99;158;The Rockefeller University *;USA;Higher educ.
100;160;University of Science and Technology of China;CHN;Higher educ.
101;161;South China University of Technology;CHN;Higher educ.
101;161;Icahn School of Medicine at Mount Sinai;USA;Higher educ.
102;162;Ecole Pratique des Hautes Etudes *;FRA;Higher educ.
103;163;University of Helsinki;FIN;Higher educ.
104;165;Universitat Zurich;CHE;Higher educ.
105;167;Central South University *;CHN;Higher educ.
106;169;Yonsei University *;KOR;Higher educ.
107;170;Uppsala University;SWE;Higher educ.
108;171;Princeton University;USA;Higher educ.
109;172;University of Arizona *;USA;Higher educ.
110;173;Carnegie Mellon University *;USA;Higher educ.
111;174;Technical University of Denmark;DNK;Higher educ.
112;175;Universitat Heidelberg *;DEU;Higher educ.
113;177;Tongji University *;CHN;Higher educ.
113;177;Universita degli Studi di Milano;ITA;Higher educ.
114;178;University of Texas Southwestern Medical Center ;USA;Higher educ.
115;179;Southeast University, Nanjing *;CHN;Higher educ.
116;181;University of Glasgow *;GBR;Higher educ.
117;182;Universitat de Barcelona *;ESP;Higher educ.
117;182;University of Maryland, College Park *;USA;Higher educ.
118;184;Universite Paris-Sud 11 *;FRA;Higher educ.
119;185;Wuhan University *;CHN;Higher educ.
120;187;University of Bristol;GBR;Higher educ.
121;189;Tel Aviv University;ISR;Higher educ.
122;190;Michigan State University;USA;Higher educ.
122;190;University of Colorado, Denver *;USA;Higher educ.
122;190;Korea Advanced Institute of Science and Technology *;KOR;Higher educ.
123;191;Universita degli Studi di Padova;ITA;Higher educ.
124;193;Texas A&M University, College Station;USA;Higher educ.
125;194;Tohoku University *;JPN;Higher educ.
126;195;University of Nottingham *;GBR;Higher educ.
127;197;Arizona State University;USA;Higher educ.
128;198;Universite Paris Diderot, Paris 7 *;FRA;Higher educ.
129;199;Universite Paris-Descartes, Paris 5 *;FRA;Higher educ.
130;200;Friedrich-Alexander-Universitat Erlangen-Nurnberg *;DEU;Higher educ.
131;202;University of Colorado, Boulder *;USA;Higher educ.
132;205;University of Virginia *;USA;Higher educ.
132;205;University of Southampton;GBR;Higher educ.
133;206;Soochow University, Suzhou *;CHN;Higher educ.
134;207;University of Rochester *;USA;Higher educ.
135;210;L'Alma Mater Studiorum - Universita di Bologna;ITA;Higher educ.
135;210;Sungkyunkwan University;KOR;Higher educ.
136;211;Case Western Reserve University;USA;Higher educ.
137;213;University of Birmingham;GBR;Higher educ.
138;214;Universite Grenoble-Alpes *;FRA;Higher educ.
139;215;Delft University of Technology;NLD;Higher educ.
140;216;University of Calgary;CAN;Higher educ.
141;217;Korea University *;KOR;Higher educ.
142;219;University of Iowa *;USA;Higher educ.
143;221;University of Oslo;NOR;Higher educ.
144;222;Universita degli Studi di Napoli Federico II;ITA;Higher educ.
144;222;Universidade de Lisboa;PRT;Higher educ.
145;224;University of California, Santa Barbara;USA;Higher educ.
146;225;University of Alabama, Birmingham *;USA;Higher educ.
147;226;Wageningen University and Research Centre *;NLD;Higher educ.
148;227;University of Colorado, Anschutz Medical Campus;USA;Higher educ.
149;229;The University of Western Australia;AUS;Higher educ.
150;230;University of Leeds;GBR;Higher educ.
151;232;Universitat Autonoma de Barcelona *;ESP;Higher educ.
151;232;The University of Sheffield;GBR;Higher educ.
152;234;Queen Mary, University of London;GBR;Higher educ.
153;236;BeiHang University;CHN;Higher educ.
154;238;North Carolina State University;USA;Higher educ.
155;240;Oregon Health & Science University *;USA;Higher educ.
156;241;Brown University;USA;Higher educ.
156;241;Karlsruher Institut fur Technologie;DEU;Higher educ.
157;243;Universitat Hamburg *;DEU;Higher educ.
158;244;University of Miami *;USA;Higher educ.
159;245;Weizmann Institute of Science;ISR;Higher educ.
160;247;Rheinische Friedrich-Wilhelms-Universitat Bonn *;DEU;Higher educ.
161;249;University of Illinois, Chicago *;USA;Higher educ.
161;249;Rheinisch-Westfalische Technische Hochschule Aachen;DEU;Higher educ.
162;250;The Chinese University of Hong Kong *;HKG;Higher educ.
163;251;King Abdulaziz University;SAU;Higher educ.
164;254;Universidad Nacional Autonoma de Mexico;MEX;Higher educ.
165;258;Kyushu University *;JPN;Higher educ.
166;259;The University of Adelaide;AUS;Higher educ.
167;261;Medizinische Universitat Wien;AUT;Higher educ.
167;261;Technische Universitat Dresden;DEU;Higher educ.
167;261;Aix-Marseille Universite *;FRA;Higher educ.
168;262;University of Pittsburgh Health Sciences;USA;Higher educ.
169;267;Australian National University;AUS;Higher educ.
170;273;Nankai University *;CHN;Higher educ.
171;274;Cardiff University;GBR;Higher educ.
172;275;University of Warwick;GBR;Higher educ.
172;275;Universita degli Studi di Torino;ITA;Higher educ.
172;275;Newcastle University Newcastle upon Tyne;GBR;Higher educ.
173;276;Westfalische Wilhelms-Universitat Munster *;DEU;Higher educ.
173;276;McMaster University;CAN;Higher educ.
174;277;Nagoya University *;JPN;Higher educ.
174;277;Dalian University of Technology;CHN;Higher educ.
175;278;Eberhard-Karls-Universitat Tubingen *;DEU;Higher educ.
176;279;Universidade do Porto *;PRT;Higher educ.
176;279;University of Massachusetts Medical School;USA;Higher educ.
176;279;Virginia Polytechnic Institute and State University;USA;Higher educ.
177;280;Singapore-MIT Alliance;SGP;Higher educ.
178;281;University of Liverpool *;GBR;Higher educ.
178;281;University of Waterloo;CAN;Higher educ.
179;282;University of Gothenburg;SWE;Higher educ.
180;284;Chinese Academy of Medical Sciences and Peking Union Medical College *;CHN;Higher educ.
180;284;Universite Paul Sabatier, Toulouse III *;FRA;Higher educ.
181;287;King Abdullah University of Science and Technology;SAU;Higher educ.
181;287;Rice University;USA;Higher educ.
182;288;University of Electronic Science and Technology of China;CHN;Higher educ.
183;289;Universitat Bern;CHE;Higher educ.
183;289;Universite de Montreal;CAN;Higher educ.
184;292;Hong Kong Polytechnic University;HKG;Higher educ.
185;293;Universite Montpellier *;FRA;Higher educ.
185;293;University of Malaya *;MYS;Higher educ.
186;294;Johann Wolfgang Goethe-Universitat Frankfurt am Main *;DEU;Higher educ.
186;294;Temple University *;USA;Higher educ.
186;294;Indiana University-Purdue University Indianapolis;USA;Higher educ.
187;295;University of Auckland;NZL;Higher educ.
187;295;Hebrew University of Jerusalem;ISR;Higher educ.
188;296;Tufts University;USA;Higher educ.
189;297;Royal Institute of Technology;SWE;Higher educ.
190;298;Universite de Strasbourg *;FRA;Higher educ.
191;299;Hanyang University *;KOR;Higher educ.
191;299;Universitat Basel;CHE;Higher educ.
192;302;Universite de Geneve;CHE;Higher educ.
193;305;University of Western Ontario;CAN;Higher educ.
194;306;University of Georgia;USA;Higher educ.
194;306;Universidad Complutense de Madrid *;ESP;Higher educ.
195;308;Jiangnan University *;CHN;Higher educ.
195;308;Albert-Ludwigs-Universitat Freiburg im Breisgau;DEU;Higher educ.
196;310;Charles University *;CZE;Higher educ.
197;311;Universite Claude Bernard Lyon 1;FRA;Higher educ.
198;313;Hokkaido University *;JPN;Higher educ.
199;314;University of Kentucky *;USA;Higher educ.
199;314;Xiamen University *;CHN;Higher educ.
200;315;University of Connecticut, Storrs *;USA;Higher educ.
200;315;Universita degli Studi di Firenze;ITA;Higher educ.
200;315;Dartmouth College *;USA;Higher educ.
200;315;University of Kansas *;USA;Higher educ.
201;317;California State University, Los Angeles;USA;Higher educ.
202;318;University of Cincinnati *;USA;Higher educ.
203;319;Wayne State University;USA;Higher educ.
204;320;Iowa State University;USA;Higher educ.
205;321;State University of New York, Stony Brook *;USA;Higher educ.
206;322;Medizinische Hochschule Hannover;DEU;Higher educ.
206;322;University of Ottawa;CAN;Higher educ.
207;325;Julius-Maximilians-Universitat Wurzburg *;DEU;Higher educ.
208;327;Johannes Gutenberg-Universitat Mainz *;DEU;Higher educ.
209;328;Universidad Autonoma de Madrid *;ESP;Higher educ.
210;330;Universidade Estadual Paulista Julio de Mesquita Filho;BRA;Higher educ.
211;331;State University of New York, Buffalo;USA;Higher educ.
212;332;Beijing Institute of Technology;CHN;Higher educ.
213;336;Kyung Hee University *;KOR;Higher educ.
213;336;Universita degli Studi di Pisa;ITA;Higher educ.
214;337;Peking University Health Science Center;CHN;Higher educ.
215;342;University of South Florida *;USA;Higher educ.
216;346;Universidade Estadual de Campinas;BRA;Higher educ.
216;346;Stockholm University;SWE;Higher educ.
217;347;Eindhoven University of Technology;NLD;Higher educ.
218;348;Pohang University of Science and Technology;KOR;Higher educ.
218;348;Technion - Israel Institute of Technology *;ISR;Higher educ.
219;349;Virginia Commonwealth University *;USA;Higher educ.
220;351;Heinrich Heine Universitat Dusseldorf  *;DEU;Higher educ.
220;351;Universite de Bordeaux *;FRA;Higher educ.
221;353;Lomonosov  Moscow State University;RUS;Higher educ.
222;354;King Saud University;SAU;Higher educ.
222;354;City University of New York *;USA;Higher educ.
223;358;Trinity College Dublin *;IRL;Higher educ.
224;359;Universite de Lausanne;CHE;Higher educ.
224;359;Hunan University;CHN;Higher educ.
224;359;Universitat de Valencia *;ESP;Higher educ.
225;360;University of Athens;GRC;Higher educ.
226;361;Tokyo Institute of Technology;JPN;Higher educ.
226;361;University of Massachusetts, Amherst;USA;Higher educ.
227;362;Catholic University of Louvain;BEL;Higher educ.
228;364;University of California, Riverside;USA;Higher educ.
228;364;The Hong Kong University of Science and Technology;HKG;Higher educ.
229;365;University of Delaware;USA;Higher educ.
229;365;Linkoping University;SWE;Higher educ.
229;365;Northeastern University;USA;Higher educ.
230;366;Albert Einstein College of Medicine;USA;Higher educ.
231;367;Universitat Duisburg Essen *;DEU;Higher educ.
231;367;National Tsing Hua University;TWN;Higher educ.
232;368;Aalto University;FIN;Higher educ.
233;369;University of Exeter;GBR;Higher educ.
233;369;Indiana University-Bloomington;USA;Higher educ.
234;370;University of New Mexico *;USA;Higher educ.
234;370;University of Texas, Health Science Center at Houston;USA;Higher educ.
235;371;Universitat Ulm *;DEU;Higher educ.
235;371;University of Texas, Dallas;USA;Higher educ.
236;372;Wake Forest University *;USA;Higher educ.
237;373;London School of Hygiene and Tropical Medicine;GBR;Higher educ.
237;373;Nanjing Medical University *;CHN;Higher educ.
238;374;University of Dundee;GBR;Higher educ.
239;375;Politecnico di Milano;ITA;Higher educ.
240;377;Universidade Federal do Rio de Janeiro;BRA;Higher educ.
240;377;Universitat Wien;AUT;Higher educ.
240;377;University of Tennessee, Knoxville *;USA;Higher educ.
241;378;Aalborg University *;DNK;Higher educ.
242;379;Chongqing University;CHN;Higher educ.
243;380;East China University of Science and Technology;CHN;Higher educ.
244;382;Chalmers University of Technology *;SWE;Higher educ.
244;382;Friedrich-Schiller-Universitat Jena *;DEU;Higher educ.
244;382;Freie Universitat Berlin *;DEU;Higher educ.
244;382;Institut Eurecom;FRA;Higher educ.
245;383;Beijing Normal University *;CHN;Higher educ.
246;387;Tehran University of Medical Sciences *;IRN;Higher educ.
247;388;University of Bergen;NOR;Higher educ.
247;388;Georg-August-Universitat Gottingen *;DEU;Higher educ.
247;388;Universitat zu Koln;DEU;Higher educ.
247;388;Universidad de Granada *;ESP;Higher educ.
248;389;China Agricultural University;CHN;Higher educ.
249;392;University of Notre Dame;USA;Higher educ.
250;393;Keio University *;JPN;Higher educ.
251;394;University of Twente;NLD;Higher educ.
251;394;University of Cape Town;ZAF;Higher educ.
252;395;University of Nebraska, Lincoln;USA;Higher educ.
252;395;University of California, Santa Cruz;USA;Higher educ.
252;395;University College Dublin;IRL;Higher educ.
253;397;Radboud University Nijmegen;NLD;Higher educ.
254;398;University of Missouri, Columbia *;USA;Higher educ.
255;399;Georgetown University *;USA;Higher educ.
255;399;University of Oklahoma *;USA;Higher educ.
256;400;Colorado State University;USA;Higher educ.
257;401;Universita degli Studi di Roma Tor Vergata;ITA;Higher educ.
257;401;University of Aberdeen;GBR;Higher educ.
257;401;George Washington University *;USA;Higher educ.
258;402;Queen's University Belfast;GBR;Higher educ.
259;403;University of St. Andrews;GBR;Higher educ.
259;403;Vrije Universiteit Brussel;BEL;Higher educ.
260;405;Second Military Medical University *;CHN;Higher educ.
261;407;University of Manitoba;CAN;Higher educ.
262;408;University of Texas Medical Branch ;USA;Higher educ.
263;409;Universitat Politecnica de Valencia *;ESP;Higher educ.
263;409;University of Southern Denmark;DNK;Higher educ.
264;410;National Cheng Kung University;TWN;Higher educ.
264;410;Laval University;CAN;Higher educ.
264;410;University of Tsukuba *;JPN;Higher educ.
265;411;Ulsan National Institute of Science and Technology *;KOR;Higher educ.
265;411;Florida State University *;USA;Higher educ.
265;411;University of Ljubljana *;SVN;Higher educ.
265;411;Universidade Federal do Rio Grande do Sul;BRA;Higher educ.
265;411;Umea University *;SWE;Higher educ.
265;411;University of Texas Health Science Center at San Antonio ;USA;Higher educ.
266;412;Universidad de Sevilla *;ESP;Higher educ.
266;412;Northwestern Polytechnical University;CHN;Higher educ.
267;413;University of Durham;GBR;Higher educ.
267;413;University of York;GBR;Higher educ.
268;414;Norwegian University of Science and Technology;NOR;Higher educ.
269;415;Universite Libre de Bruxelles;BEL;Higher educ.
270;416;Oregon State University;USA;Higher educ.
271;417;Universidad del Pais Vasco *;ESP;Higher educ.
271;417;Griffith University;AUS;Higher educ.
271;417;Thomas Jefferson University *;USA;Higher educ.
272;418;University of Minnesota Health and Medicine;USA;Higher educ.
272;418;University of Houston;USA;Higher educ.
272;418;University of Belgrade;SRB;Higher educ.
273;419;University of East Anglia *;GBR;Higher educ.
273;419;Universitat Politecnica de Catalunya *;ESP;Higher educ.
273;419;Universitat Leipzig *;DEU;Higher educ.
274;420;National Chiao Tung University;TWN;Higher educ.
275;421;Universidade Federal de Minas Gerais;BRA;Higher educ.
275;421;Dalhousie University;CAN;Higher educ.
276;422;Xidian University;CHN;Higher educ.
276;422;Curtin University;AUS;Higher educ.
277;423;Beijing University of Chemical Technology;CHN;Higher educ.
278;424;Ruhr-Universitat Bochum *;DEU;Higher educ.
278;424;City University of Hong Kong *;HKG;Higher educ.
278;424;Universitat des Saarlandes *;DEU;Higher educ.
279;425;Kyungpook National University *;KOR;Higher educ.
280;426;Medical University of South Carolina *;USA;Higher educ.
280;426;Simon Fraser University;CAN;Higher educ.
281;427;University of Bath;GBR;Higher educ.
281;427;Universite de Liege;BEL;Higher educ.
282;428;University of Antwerp;BEL;Higher educ.
283;429;Queen's University;CAN;Higher educ.
283;429;Technische Universitat Berlin *;DEU;Higher educ.
284;430;University of Wollongong *;AUS;Higher educ.
284;430;Universitat Stuttgart *;DEU;Higher educ.
284;430;China Pharmaceutical University;CHN;Higher educ.
285;431;University of Surrey;GBR;Higher educ.
285;431;Deakin University;AUS;Higher educ.
286;432;Konkuk University *;KOR;Higher educ.
287;434;Maastricht University;NLD;Higher educ.
288;435;Christian-Albrechts-Universitat zu Kiel;DEU;Higher educ.
288;435;Jiangsu University *;CHN;Higher educ.
289;437;Jagiellonian University;POL;Higher educ.
289;437;Capital University of Medical Sciences;CHN;Higher educ.
289;437;Fourth Military Medical University *;CHN;Higher educ.
289;437;Universita degli Studi di Genova;ITA;Higher educ.
290;438;Drexel University;USA;Higher educ.
291;439;Universitat Pompeu Fabra *;ESP;Higher educ.
292;440;Queensland University of Technology;AUS;Higher educ.
293;441;Technische Universitat Wien *;AUT;Higher educ.
294;442;University of Leicester;GBR;Higher educ.
294;442;Universidade de Coimbra;PRT;Higher educ.
294;442;University of Ulsan *;KOR;Higher educ.
295;443;University of Otago;NZL;Higher educ.
296;444;Universitat Regensburg *;DEU;Higher educ.
297;446;Medical College of Wisconsin;USA;Higher educ.
297;446;University of South Carolina *;USA;Higher educ.
297;446;National Yang-Ming University;TWN;Higher educ.
298;447;Chang Gung University;TWN;Higher educ.
298;447;China Medical University, Taichung *;TWN;Higher educ.
298;447;Universita degli Studi di Pavia;ITA;Higher educ.
299;449;Beijing University of Posts and Telecommunications;CHN;Higher educ.
299;449;Ecole Normale Superieure de Paris *;FRA;Higher educ.
300;450;Lanzhou University *;CHN;Higher educ.
300;450;University of Nebraska Medical Center;USA;Higher educ.
301;451;3rd Military Medical University *;CHN;Higher educ.
302;452;University of Louisville *;USA;Higher educ.
302;452;University College Cork *;IRL;Higher educ.
302;452;Shanghai Medical College of Fudan University;CHN;Higher educ.
302;452;Zhengzhou University *;CHN;Higher educ.
303;453;University of Hawaii, Manoa *;USA;Higher educ.
304;455;Philipps-Universitat Marburg *;DEU;Higher educ.
304;455;University of Central Florida;USA;Higher educ.
304;455;Universidad de Zaragoza *;ESP;Higher educ.
304;455;Universidad de Chile *;CHL;Higher educ.
305;456;Macquarie University *;AUS;Higher educ.
305;456;Aristotle University of Thessaloniki;GRC;Higher educ.
306;457;Universite de Lille *;FRA;Higher educ.
306;457;Medizinische Universitat Innsbruck *;AUT;Higher educ.
306;457;Universita degli Studi di Milano-Bicocca;ITA;Higher educ.
306;457;Technische Universitat Darmstadt;DEU;Higher educ.
306;457;Humboldt-Universitat zu Berlin *;DEU;Higher educ.
306;457;University of Technology, Sydney;AUS;Higher educ.
307;458;Universidad de Navarra *;ESP;Higher educ.
308;459;Ecole Nationale Superieure de Chimie de Montpellier *;FRA;Higher educ.
308;459;Augusta University;USA;Higher educ.
309;460;Technische Universitat Graz;AUT;Higher educ.
309;460;University of Sussex;GBR;Higher educ.
310;461;Shanghai University;CHN;Higher educ.
310;461;University of Turku;FIN;Higher educ.
311;462;Pontificia Universidad Catolica de Chile *;CHL;Higher educ.
312;464;Pusan National University;KOR;Higher educ.
312;464;Universidad Politecnica de Madrid *;ESP;Higher educ.
313;465;Catholic University of Korea *;KOR;Higher educ.
313;465;University of Science and Technology Beijing;CHN;Higher educ.
314;469;Universita degli Studi di Perugia;ITA;Higher educ.
314;469;Nanjing Agricultural University;CHN;Higher educ.
314;469;Tulane University *;USA;Higher educ.
314;469;University of South Australia;AUS;Higher educ.
315;470;Justus-Liebig-Universitat Giessen *;DEU;Higher educ.
315;470;University of Oulu;FIN;Higher educ.
315;470;Nanjing University of Science and Technology;CHN;Higher educ.
315;470;Institut Polytechnique de Grenoble *;FRA;Higher educ.
316;471;Southern Medical University *;CHN;Higher educ.
316;471;Universitat fur Bodenkultur Wien *;AUT;Higher educ.
317;472;Washington State University, Pullman;USA;Higher educ.
318;473;Ben-Gurion University of the Negev;ISR;Higher educ.
319;474;Nanjing University of Aeronautics and Astronautics;CHN;Higher educ.
320;476;University of Tehran;IRN;Higher educ.
320;476;Florida International University;USA;Higher educ.
320;476;University of Pretoria;ZAF;Higher educ.
321;479;China University of Mining and Technology;CHN;Higher educ.
321;479;East China Normal University;CHN;Higher educ.
321;479;University of Technology, Malaysia;MYS;Higher educ.
321;479;Universidad de Buenos Aires *;ARG;Higher educ.
322;481;Rush University *;USA;Higher educ.
322;481;Huazhong Agricultural University;CHN;Higher educ.
322;481;Chonnam National University;KOR;Higher educ.
322;481;Universite de Lorraine *;FRA;Higher educ.
323;482;Universita Cattolica del Sacro Cuore;ITA;Higher educ.
324;483;Louisiana State University, Baton Rouge;USA;Higher educ.
324;483;The University of Newcastle;AUS;Higher educ.
324;483;Universita degli Studi di Bari;ITA;Higher educ.
324;483;Lancaster University;GBR;Higher educ.
324;483;University of Strathclyde;GBR;Higher educ.
324;483;University of Zagreb;HRV;Higher educ.
325;484;University of the Witwatersrand, Johannesburg;ZAF;Higher educ.
325;484;Ewha Womans University *;KOR;Higher educ.
325;484;Rensselaer Polytechnic Institute;USA;Higher educ.
326;485;Universidade Federal de Sao Paulo;BRA;Higher educ.
326;485;Universita degli Studi di Catania;ITA;Higher educ.
327;486;Shenyang Pharmaceutical University;CHN;Higher educ.
328;487;University of Saskatchewan;CAN;Higher educ.
329;489;Universite de Nantes *;FRA;Higher educ.
330;490;Northwest A and F University;CHN;Higher educ.
331;491;University Putra Malaysia;MYS;Higher educ.
332;492;Tianjin Medical University *;CHN;Higher educ.
332;492;Universita degli Studi di Palermo;ITA;Higher educ.
332;492;Royal Melbourne Institute of Technology *;AUS;Higher educ.
333;494;University of Science, Malaysia *;MYS;Higher educ.
333;494;Jinan University *;CHN;Higher educ.
333;494;Taipei Medical University;TWN;Higher educ.
334;495;Universite Nice Sophia Antipolis *;FRA;Higher educ.
334;495;Politecnico di Torino *;ITA;Higher educ.
334;495;China University of Geosciences;CHN;Higher educ.
335;496;Kansas State University;USA;Higher educ.
335;496;Universidade do Minho;PRT;Higher educ.
335;496;Chiba University *;JPN;Higher educ.
336;497;Universita degli Studi di Parma;ITA;Higher educ.
336;497;University of Vermont;USA;Higher educ.
337;498;University of Oklahoma Health Sciences Center;USA;Higher educ.
337;498;National University of Defense Technology;CHN;Higher educ.
338;501;Hiroshima University *;JPN;Higher educ.
339;502;Bar-Ilan University;ISR;Higher educ.
340;503;Georgia State University;USA;Higher educ.
340;503;Universite de Fribourg;CHE;Higher educ.
341;504;Universitat Konstanz;DEU;Higher educ.
341;504;Universidade Nova de Lisboa;PRT;Higher educ.
342;505;National University of Malaysia *;MYS;Higher educ.
342;505;Harbin Medical University *;CHN;Higher educ.
343;506;Swedish University of Agricultural Sciences;SWE;Higher educ.
343;506;Medizinische Universitat Graz *;AUT;Higher educ.
343;506;Okayama University *;JPN;Higher educ.
343;506;Universite du Luxembourg;LUX;Higher educ.
344;507;Cairo University;EGY;Higher educ.
345;508;Loughborough University;GBR;Higher educ.
346;509;Universita degli Studi di Salerno;ITA;Higher educ.
346;509;AgroParisTech, Institut des Sciences et Industries du Vivant et de l'Environnement *;FRA;Higher educ.
347;510;Tokyo Medical and Dental University;JPN;Higher educ.
348;511;National Chung Hsing University;TWN;Higher educ.
348;511;Universidade de Santiago de Compostela *;ESP;Higher educ.
349;512;Chonbuk National University *;KOR;Higher educ.
349;512;University of Guelph;CAN;Higher educ.
350;513;Tallinn University of Technology;EST;Higher educ.
350;513;Northeastern University, China;CHN;Higher educ.
351;514;University of Eastern Finland;FIN;Higher educ.
351;514;Southwest University *;CHN;Higher educ.
351;514;The University of Reading;GBR;Higher educ.
352;515;Universita Vita-Salute San Raffaele;ITA;Higher educ.
353;516;Indian Institute of Science;IND;Higher educ.
353;516;Ecole Superieure de Physique et de Chimie Industrielles de la Ville de Paris *;FRA;Higher educ.
354;517;Universita degli Studi di Trento;ITA;Higher educ.
354;517;Tokyo University of Pharmacy and Life Science;JPN;Higher educ.
355;518;Ngee Ann Polytechnic;SGP;Higher educ.
355;518;Wuhan University of Technology;CHN;Higher educ.
355;518;University of Connecticut Health Center;USA;Higher educ.
355;518;Universidade de Aveiro;PRT;Higher educ.
355;518;Kobe University *;JPN;Higher educ.
356;519;Fuzhou University;CHN;Higher educ.
356;519;Texas A&M University, Health Science Center;USA;Higher educ.
357;521;Virginia-Maryland Regional College of Veterinary Medicine;USA;Higher educ.
357;521;Shenzhen University;CHN;Higher educ.
357;521;University of Victoria;CAN;Higher educ.
358;522;College de France *;FRA;Higher educ.
